EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

timestep,fleet,group,value
341,1,1,7.541796E-07
341,3,11,0.0006959332
342,1,1,7.412693E-07
342,3,11,0.000692541
343,1,1,7.228842E-07
343,3,11,0.0006901168
344,1,1,7.144885E-07
344,3,11,0.0006883724
345,1,1,7.169708E-07
345,3,11,0.0006870942
346,1,1,7.279097E-07
346,3,11,0.0006859812
347,1,1,7.424539E-07
347,3,11,0.0006847678
348,1,1,7.536036E-07
348,3,11,0.000683377
349,1,1,7.569719E-07
349,3,11,0.0006819302
350,1,1,7.519557E-07
350,3,11,0.0006804562
351,1,1,7.385341E-07
351,3,11,0.0006791483
352,1,1,7.196978E-07
352,3,11,0.0006781171
353,1,1,6.989769E-07
353,3,11,0.000677403
354,1,1,6.805905E-07
354,3,11,0.0006768162
355,1,1,6.650573E-07
355,3,11,0.0006759982
356,1,1,6.496689E-07
356,3,11,0.0006749253
357,1,1,6.344188E-07
357,3,11,0.0006734847
358,1,1,6.177597E-07
358,3,11,0.0006716021
359,1,1,5.973075E-07
359,3,11,0.0006694708
360,1,1,5.733748E-07
360,3,11,0.0006672351
361,1,1,5.478278E-07
361,3,11,0.0006650466
362,1,1,5.238465E-07
362,3,11,0.0006628928
363,1,1,5.029212E-07
363,3,11,0.0006606439
364,1,1,4.845722E-07
364,3,11,0.0006582611
365,1,1,4.697732E-07
365,3,11,0.0006556333
366,1,1,4.561791E-07
366,3,11,0.0006526323
367,1,1,4.404704E-07
367,3,11,0.0006495487
368,1,1,4.247436E-07
368,3,11,0.0006463688
369,1,1,4.100542E-07
369,3,11,0.0006430157
370,1,1,3.955751E-07
370,3,11,0.0006395133
371,1,1,3.814566E-07
371,3,11,0.0006359062
372,1,1,3.678621E-07
372,3,11,0.0006321623
373,1,1,3.542895E-07
373,3,11,0.000628355
374,1,1,3.401466E-07
374,3,11,0.0006245247
375,1,1,3.262072E-07
375,3,11,0.0006208185
376,1,1,3.149911E-07
376,3,11,0.0006170503
377,1,1,3.052154E-07
377,3,11,0.0006131568
378,1,1,2.952836E-07
378,3,11,0.0006092482
379,1,1,2.856646E-07
379,3,11,0.0006053071
380,1,1,2.774654E-07
380,3,11,0.0006012555
381,1,1,2.710334E-07
381,3,11,0.0005969419
382,1,1,2.643845E-07
382,3,11,0.0005923763
383,1,1,2.566665E-07
383,3,11,0.0005876425
384,1,1,2.485125E-07
384,3,11,0.0005827004
385,1,1,2.391397E-07
385,3,11,0.0005775876
386,1,1,2.287758E-07
386,3,11,0.0005723619
387,1,1,2.183077E-07
387,3,11,0.0005670032
388,1,1,2.057728E-07
388,3,11,0.0005615741
389,1,1,1.885002E-07
389,3,11,0.0005564145
390,1,1,1.708622E-07
390,3,11,0.0005520628
391,1,1,1.569581E-07
391,3,11,0.0005484467
392,1,1,1.470482E-07
392,3,11,0.0005454836
393,1,1,1.405613E-07
393,3,11,0.0005428392
394,1,1,1.359213E-07
394,3,11,0.0005402387
395,1,1,1.316441E-07
395,3,11,0.0005377269
396,1,1,1.274524E-07
396,3,11,0.0005350713
