Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1987:9, 5176.755, 15393.35, 0, 6.910115, 0.8183335, 13.43049, 0, 66.97236, 1.840153, 10.02857, 17.12527, 25.04197, 3.05955, 64.32401, 1627.675, 1603.272, 2264.306, 40.51331, 0.1649135, 0.295067, 3257.071, 0.6291723, 2.973553, 3.610084, 1.018983, -1.461796, 0.1889982, 0.200048, 0.1965664, 
1987:10, 5176.693, 15393.22, 0, 6.910225, 0.8183139, 13.43028, 0, 66.97261, 1.840178, 10.02839, 17.12479, 25.04184, 3.059578, 64.32384, 1627.639, 1603.291, 2264.319, 40.51799, 0.1647957, 0.295066, 3257.024, 0.6291708, 2.973562, 3.605955, 1.019401, -1.451542, 0.1890012, 0.2000503, 0.1965689, 
1987:11, 5176.638, 15393.1, 0, 6.910348, 0.8182966, 13.43008, 0, 66.97284, 1.840212, 10.02824, 17.12437, 25.04177, 3.059604, 64.32381, 1627.607, 1603.31, 2264.333, 40.52235, 0.1648066, 0.2950649, 3256.985, 0.62917, 2.973572, 3.602071, 1.019813, -1.441236, 0.1890043, 0.2000526, 0.1965715, 
1987:12, 5176.588, 15393.01, 0, 6.91049, 0.8182809, 13.42989, 0, 66.97299, 1.840255, 10.02811, 17.12401, 25.04172, 3.059628, 64.32389, 1627.577, 1603.328, 2264.347, 40.52639, 0.1649362, 0.2950638, 3256.954, 0.62917, 2.973581, 3.598419, 1.020218, -1.431005, 0.1890075, 0.2000549, 0.196574, 
1988:1, 5176.551, 15392.96, 0, 6.910832, 0.8185375, 13.4296, 0, 66.97314, 1.84034, 10.02756, 17.12365, 25.04166, 3.059652, 64.32919, 1627.546, 1603.344, 2264.366, 40.52982, 0.1702688, 0.2950625, 3256.991, 0.6291817, 2.973593, 3.601766, 1.020613, -1.310456, 0.189015, 0.2000609, 0.1965805, 
1988:2, 5176.531, 15393.04, 0, 6.911019, 0.8185231, 13.42935, 0, 66.97298, 1.840367, 10.02776, 17.12332, 25.04162, 3.059668, 64.32944, 1627.531, 1603.36, 2264.384, 40.533, 0.1705537, 0.2950613, 3256.998, 0.6291854, 2.973621, 3.599717, 1.021012, -1.300628, 0.1890184, 0.2000634, 0.1965832, 
1988:3, 5176.516, 15393.14, 0, 6.911234, 0.8185112, 13.42912, 0, 66.97278, 1.840403, 10.02796, 17.12304, 25.04159, 3.059682, 64.32984, 1627.518, 1603.375, 2264.4, 40.53593, 0.1709651, 0.2950601, 3257.013, 0.6291902, 2.973648, 3.597856, 1.021413, -1.290467, 0.1890218, 0.2000659, 0.1965861, 
1988:4, 5176.504, 15393.24, 0, 6.911474, 0.8185013, 13.42889, 0, 66.97252, 1.840449, 10.02816, 17.12278, 25.04158, 3.059695, 64.33034, 1627.506, 1603.389, 2264.417, 40.5386, 0.171505, 0.2950588, 3257.034, 0.6291958, 2.973674, 3.596158, 1.021814, -1.279894, 0.1890252, 0.2000685, 0.1965889, 
1988:5, 5176.495, 15393.34, 0, 6.911739, 0.818494, 13.42868, 0, 66.97221, 1.840505, 10.02836, 17.12254, 25.04159, 3.059706, 64.33099, 1627.496, 1603.402, 2264.434, 40.54104, 0.1721756, 0.2950575, 3257.063, 0.6292024, 2.973699, 3.594598, 1.022213, -1.268825, 0.1890287, 0.200071, 0.1965917, 
1988:6, 5176.488, 15393.43, 0, 6.912032, 0.8184889, 13.42847, 0, 66.97189, 1.840572, 10.02854, 17.12234, 25.04162, 3.059718, 64.33176, 1627.487, 1603.415, 2264.45, 40.54325, 0.1729794, 0.2950562, 3257.096, 0.6292096, 2.973722, 3.593148, 1.022607, -1.25718, 0.1890321, 0.2000735, 0.1965945, 
1988:7, 5176.482, 15393.52, 0, 6.912347, 0.8184866, 13.42829, 0, 66.97153, 1.84065, 10.0287, 17.12215, 25.04167, 3.059728, 64.33268, 1627.478, 1603.427, 2264.467, 40.54524, 0.1739185, 0.2950547, 3257.134, 0.6292176, 2.973742, 3.591779, 1.022996, -1.244882, 0.1890356, 0.2000759, 0.1965973, 
1988:8, 5176.477, 15393.59, 0, 6.912679, 0.8184872, 13.42812, 0, 66.97116, 1.840742, 10.02881, 17.12201, 25.04175, 3.059737, 64.33374, 1627.471, 1603.44, 2264.484, 40.54701, 0.1749946, 0.2950532, 3257.174, 0.629226, 2.973758, 3.590459, 1.023375, -1.231861, 0.189039, 0.2000783, 0.1966, 
