EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

timestep,fleet,group,value
222,1,1,6.968808E-07
222,3,11,7.39938E-05
223,1,1,7.143832E-07
223,3,11,7.439602E-05
224,1,1,7.296894E-07
224,3,11,7.490295E-05
225,1,1,7.407775E-07
225,3,11,7.551206E-05
226,1,1,7.464926E-07
226,3,11,7.624496E-05
227,1,1,7.48028E-07
227,3,11,7.708414E-05
228,1,1,7.460793E-07
228,3,11,7.794987E-05
229,1,1,7.3912E-07
229,3,11,7.881253E-05
230,1,1,7.277458E-07
230,3,11,7.959757E-05
231,1,1,7.118599E-07
231,3,11,8.026767E-05
232,1,1,6.907558E-07
232,3,11,8.082153E-05
233,1,1,6.648808E-07
233,3,11,8.132196E-05
234,1,1,6.380076E-07
234,3,11,8.175389E-05
235,1,1,6.114437E-07
235,3,11,8.212615E-05
236,1,1,5.856018E-07
236,3,11,8.247612E-05
237,1,1,5.613342E-07
237,3,11,8.285578E-05
238,1,1,5.410942E-07
238,3,11,8.330984E-05
239,1,1,5.272968E-07
239,3,11,8.381109E-05
240,1,1,5.198776E-07
240,3,11,8.434164E-05
241,1,1,5.180536E-07
241,3,11,8.486404E-05
242,1,1,5.206123E-07
242,3,11,8.53645E-05
243,1,1,5.265246E-07
243,3,11,8.580933E-05
244,1,1,5.336906E-07
244,3,11,8.620912E-05
245,1,1,5.411479E-07
245,3,11,8.657396E-05
246,1,1,5.498546E-07
246,3,11,8.68968E-05
247,1,1,5.608613E-07
247,3,11,8.713804E-05
248,1,1,5.735494E-07
248,3,11,8.729025E-05
249,1,1,5.884734E-07
249,3,11,8.734036E-05
250,1,1,5.980868E-07
250,3,11,8.730401E-05
251,1,1,5.939177E-07
251,3,11,8.732746E-05
252,1,1,5.879241E-07
252,3,11,8.747819E-05
253,1,1,5.891338E-07
253,3,11,8.77607E-05
254,1,1,6.01885E-07
254,3,11,8.814385E-05
255,1,1,6.279602E-07
255,3,11,8.856144E-05
256,1,1,6.661637E-07
256,3,11,8.893362E-05
257,1,1,7.104907E-07
257,3,11,8.923654E-05
258,1,1,7.500414E-07
258,3,11,8.951326E-05
259,1,1,7.820071E-07
259,3,11,8.988599E-05
260,1,1,8.173829E-07
260,3,11,9.034614E-05
261,1,1,8.604283E-07
261,3,11,9.087468E-05
262,1,1,9.104722E-07
262,3,11,9.148374E-05
263,1,1,9.672908E-07
263,3,11,9.220762E-05
264,1,1,1.035483E-06
264,3,11,9.303103E-05
265,1,1,1.118067E-06
265,3,11,9.384928E-05
266,1,1,1.209012E-06
266,3,11,9.461964E-05
267,1,1,1.301081E-06
267,3,11,9.531397E-05
268,1,1,1.384821E-06
268,3,11,9.594535E-05
269,1,1,1.461566E-06
269,3,11,9.653245E-05
270,1,1,1.538096E-06
270,3,11,9.699698E-05
