Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1986:8, 3181.427, 9712.024, 0, 6.502786, 0.9352016, 13.38675, 0, 67.61415, 3.144399, 8.416713, 15.73827, 25.3445, 3.752954, 72.23711, 775.4757, 744.4637, 1053.67, 26.69497, 0.1399931, 0.2924123, 2022.503, 0.635722, 3.052725, 3.596866, 0.9687887, -1.70053, 0.1421294, 0.1526833, 0.1492549, 
1986:9, 3234.373, 9841.867, 0, 6.509554, 0.8589168, 13.43554, 0, 67.93819, 2.921993, 8.335814, 16.63583, 26.65459, 3.731817, 65.97062, 800.7314, 952.6104, 1273.142, 26.03278, 0.1334632, 0.2902489, 2047.503, 0.6330447, 3.042898, 3.617146, 0.962158, -1.760643, 0.1446958, 0.1552676, 0.151847, 
1986:10, 3240.275, 9835.493, 0, 6.458592, 0.797069, 13.51062, 0, 68.23186, 2.775376, 8.226497, 17.58856, 27.705, 3.734301, 61.04527, 806.6606, 889.0354, 1212.514, 24.85063, 0.1272828, 0.2886617, 2042.466, 0.6303373, 3.035388, 3.641323, 0.9552509, -1.824772, 0.1453853, 0.1559284, 0.1525232, 
1986:11, 3179.517, 9631.747, 0, 6.51253, 0.8741831, 13.44168, 0, 68.00256, 3.015289, 8.153759, 16.30804, 26.41433, 3.773973, 67.00127, 775.4841, 785.9055, 1096.781, 25.41151, 0.121687, 0.2893828, 2006.138, 0.6309568, 3.029311, 3.598883, 0.9527994, -1.851603, 0.1428376, 0.1532543, 0.1498869, 
1986:12, 3239.13, 9765.37, 0, 6.841388, 1.074736, 13.28336, 0, 67.18004, 3.386369, 8.234105, 13.58282, 23.61055, 3.726233, 81.79526, 787.4822, 900.8737, 1217.447, 29.81547, 0.117597, 0.2921615, 2070.208, 0.6391248, 3.014813, 3.506694, 0.9412625, -1.828902, 0.1441931, 0.154609, 0.1512493, 
1987:1, 3680.161, 10971.79, 0, 7.114206, 1.12991, 13.34228, 0, 66.87208, 3.076407, 8.465124, 13.28429, 23.38332, 3.492574, 84.4981, 969.2123, 1421.131, 1814.627, 35.38334, 0.1096759, 0.2925161, 2368.415, 0.6435627, 2.981335, 3.497183, 0.921863, -1.92384, 0.1586208, 0.169256, 0.1658664, 
1987:2, 4437.067, 12986.98, 0, 7.107576, 0.9625199, 13.56082, 0, 67.3087, 2.343101, 8.717271, 15.35127, 24.76054, 3.238985, 71.96101, 1297.933, 1951.411, 2482.826, 36.79073, 0.1082932, 0.2908034, 2809.204, 0.6331217, 2.926929, 3.538297, 0.914857, -1.947891, 0.1774183, 0.1878701, 0.1845855, 
1987:3, 4911.068, 14221.72, 0, 7.066806, 0.8798671, 13.67113, 0, 67.47762, 2.02976, 8.874817, 16.52547, 25.15266, 3.126506, 66.4343, 1504.351, 1861.564, 2479.05, 37.50167, 0.1070749, 0.290771, 3074.423, 0.6260192, 2.89585, 3.561097, 0.9089788, -1.955634, 0.1860356, 0.1962899, 0.1930848, 
1987:4, 5172.262, 14875.91, 0, 7.190613, 0.9458249, 13.6813, 0, 67.09227, 2.043531, 9.046463, 15.79817, 24.09368, 3.073909, 71.85443, 1610.779, 1771.366, 2433.027, 40.96316, 0.106456, 0.2921764, 3245.587, 0.6274985, 2.876094, 3.531072, 0.9010063, -1.924983, 0.1897476, 0.1999412, 0.1967604, 
1987:5, 5563.524, 15915.5, 0, 6.960352, 0.7570338, 13.8008, 0, 67.73477, 1.663157, 9.083883, 18.44289, 25.87611, 3.008167, 58.38644, 1791.087, 2088.494, 2825.051, 38.44965, 0.105553, 0.2910228, 3424.728, 0.6155681, 2.860687, 3.603234, 0.8977659, -1.944979, 0.195397, 0.2053905, 0.2022828, 
1987:6, 5440.931, 15666.36, 0, 6.771196, 0.6708719, 13.85689, 0, 68.09739, 1.555311, 9.048363, 20.24145, 27.39059, 3.020686, 51.73116, 1749.492, 1601.339, 2319.411, 35.19543, 0.103718, 0.2907349, 3336.771, 0.613272, 2.879352, 3.660104, 0.895, -1.970995, 0.1937382, 0.2039443, 0.2007619, 
1987:7, 5014.52, 14618.44, 0, 6.590619, 0.5932844, 13.93429, 0, 68.46979, 1.519707, 8.892322, 22.4003, 29.51819, 3.086874, 45.30568, 1579.16, 1223.26, 1869.142, 30.91403, 0.1009011, 0.2900038, 3087.151, 0.6156423, 2.915223, 3.734582, 0.8885177, -2.021249, 0.1876602, 0.1982298, 0.1949148, 
1987:8, 4392.82, 12998.54, 0, 6.469597, 0.5401579, 14.04903, 0, 68.73267, 1.585108, 8.623446, 24.50043, 31.82343, 3.220624, 40.73307, 1323.232, 845.2853, 1383.491, 26.55068, 0.09713648, 0.2888649, 2737.335, 0.6231385, 2.959043, 3.815429, 0.8770102, -2.096303, 0.1768811, 0.1878181, 0.1843566, 
1987:9, 3752.454, 11286.36, 0, 6.283269, 0.6603665, 13.9225, 0, 68.67422, 2.102489, 8.357158, 22.16678, 30.60217, 3.437069, 49.82577, 1041.934, 553.3578, 973.8202, 24.57477, 0.09294955, 0.2893555, 2355.027, 0.6275967, 3.007728, 3.751859, 0.8880618, -2.128145, 0.1615175, 0.1725476, 0.1690147, 
1987:10, 3321.592, 10055.07, 0, 6.236309, 0.7652507, 13.77194, 0, 68.4985, 2.628118, 8.099878, 19.73234, 28.81274, 3.658737, 58.30964, 849.5425, 568.7643, 909.2103, 23.54414, 0.08866186, 0.2897176, 2088.791, 0.6288524, 3.027185, 3.682456, 0.8966895, -2.163035, 0.1479143, 0.1586305, 0.1551656, 
1987:11, 3070.745, 9295.869, 0, 6.25723, 0.8035535, 13.66812, 0, 68.43276, 2.959953, 7.878391, 18.44257, 27.81134, 3.838652, 61.9226, 738.0313, 621.8453, 916.2554, 22.72709, 0.08451126, 0.2892156, 1926.932, 0.627513, 3.027236, 3.646173, 0.8987662, -2.21026, 0.1384763, 0.148772, 0.1454246, 
1987:12, 2921.627, 8824.325, 0, 6.270295, 0.8046107, 13.60831, 0, 68.47752, 3.139892, 7.699405, 17.8928, 27.43423, 3.974317, 62.58313, 672.5436, 640.5967, 908.1875, 21.94066, 0.08070783, 0.2881846, 1825.154, 0.6247048, 3.020347, 3.629315, 0.8974016, -2.260734, 0.1323214, 0.1422613, 0.1390203, 
1988:1, 2819.161, 8488.84, 0, 6.27002, 0.799439, 13.56742, 0, 68.55264, 3.266019, 7.544468, 17.58666, 27.22045, 4.083638, 62.64951, 627.7057, 632.4595, 881.8329, 21.23532, 0.08070598, 0.2871075, 1751.832, 0.6214018, 3.011123, 3.614657, 0.89517, -2.174999, 0.1278258, 0.1374709, 0.134321, 
1988:2, 2750.836, 8255.655, 0, 6.336724, 0.8576429, 13.45248, 0, 68.37032, 3.531674, 7.451168, 16.2718, 25.8717, 4.16049, 67.57736, 593.6035, 619.0501, 854.6882, 21.5583, 0.07715143, 0.2873598, 1704.532, 0.6196414, 3.001144, 3.57562, 0.8973308, -2.211715, 0.1242515, 0.1336473, 0.130576, 
1988:3, 2759.076, 8263.906, 0, 6.346901, 0.8344375, 13.45717, 0, 68.51376, 3.456664, 7.391075, 16.52383, 26.4192, 4.162485, 65.54081, 597.3028, 706.5266, 944.2358, 21.27663, 0.07395416, 0.2861078, 1705.547, 0.6181587, 2.995172, 3.577922, 0.8941386, -2.251683, 0.1250129, 0.1344314, 0.1313598, 
1988:4, 2762.929, 8259.618, 0, 6.309213, 0.7967405, 13.50439, 0, 68.72665, 3.347089, 7.315907, 17.14048, 27.19965, 4.166681, 62.4229, 600.6777, 697.9717, 937.4799, 20.59824, 0.07097168, 0.2847585, 1702.336, 0.6161345, 2.989443, 3.591105, 0.8889768, -2.29478, 0.1256345, 0.1350702, 0.1319985, 
1988:5, 2733.535, 8152.197, 0, 6.303625, 0.8165011, 13.4787, 0, 68.71515, 3.450794, 7.235246, 16.78307, 26.76137, 4.201318, 64.07825, 586.5593, 647.2522, 881.1917, 20.46515, 0.06826, 0.2845785, 1679.257, 0.6143169, 2.982291, 3.57727, 0.8867255, -2.326926, 0.1241685, 0.1335008, 0.130463, 
1988:6, 2709.895, 8062.158, 0, 6.216839, 0.7432262, 13.57385, 0, 69.08474, 3.276768, 7.104584, 18.11897, 28.2006, 4.240701, 58.38028, 580.6403, 664.8903, 896.6859, 19.19033, 0.06571074, 0.282535, 1655.477, 0.6109008, 2.975082, 3.608153, 0.8776711, -2.374039, 0.1236371, 0.1329205, 0.129901, 
1988:7, 2652.08, 7854.178, 0, 6.476439, 0.9801792, 13.27996, 0, 68.12539, 4.054263, 7.083752, 14.11311, 23.46729, 4.285777, 77.37486, 541.4348, 553.6791, 769.5131, 22.07555, 0.06360072, 0.2868147, 1628.688, 0.6141171, 2.961516, 3.493089, 0.8846958, -2.35952, 0.11899, 0.1279682, 0.125041, 
1988:8, 2828.48, 8393.731, 0, 6.49284, 0.9051361, 13.40082, 0, 68.47211, 3.547572, 7.181497, 15.46266, 25.821, 4.10217, 69.83312, 619.6751, 914.3145, 1163.429, 22.3369, 0.06197673, 0.284847, 1745.795, 0.6172203, 2.967577, 3.514311, 0.8812547, -2.369366, 0.1286652, 0.1381797, 0.1351034, 
1988:9, 2968.585, 8810.284, 0, 6.439588, 0.8295855, 13.5409, 0, 68.78944, 3.160213, 7.240279, 16.86123, 27.473, 3.973707, 63.12793, 683.929, 892.4053, 1168.542, 21.76273, 0.06050971, 0.2836042, 1833.426, 0.6176094, 2.967839, 3.541491, 0.8759795, -2.387837, 0.1355619, 0.1453705, 0.1422154, 
1988:10, 2987.764, 8863.643, 0, 6.3586, 0.7850114, 13.6196, 0, 69.01104, 3.022205, 7.203544, 17.81879, 28.33622, 3.957307, 59.61643, 695.3829, 796.1649, 1077.097, 20.91253, 0.05900903, 0.2828487, 1840.377, 0.6159712, 2.966648, 3.560747, 0.8704417, -2.41061, 0.1366851, 0.1465341, 0.1433686, 
1988:11, 2951.87, 8741.952, 0, 6.535956, 0.9628875, 13.45447, 0, 68.29639, 3.513507, 7.236799, 15.08504, 25.2646, 3.973096, 73.22772, 669.737, 704.0936, 974.4144, 23.26834, 0.05781461, 0.2858754, 1831.728, 0.6205316, 2.961496, 3.481601, 0.8726227, -2.389199, 0.1341158, 0.1438642, 0.1407257, 
1988:12, 3102.476, 9190.9, 0, 6.470931, 0.8470571, 13.58218, 0, 68.7569, 3.048507, 7.294435, 16.95398, 27.50526, 3.86019, 63.74013, 739.9706, 992.3345, 1292.221, 22.53488, 0.05679337, 0.2839535, 1920.914, 0.6191552, 2.962441, 3.519879, 0.8679132, -2.402124, 0.1411204, 0.1510967, 0.147902, 
1989:1, 3120.287, 9245.655, 0, 6.339038, 0.74138, 13.7145, 0, 69.19161, 2.766593, 7.246871, 18.90486, 29.34152, 3.849628, 55.75494, 754.7877, 857.0408, 1162.961, 20.83489, 0.04343245, 0.2823616, 1922.626, 0.6161697, 2.963078, 3.480738, 0.8594202, -2.557986, 0.1423846, 0.152407, 0.1491995, 
1989:2, 2998.714, 8885.933, 0, 6.332375, 0.8341178, 13.6153, 0, 68.89667, 3.134832, 7.186697, 17.33636, 27.5748, 3.939718, 63.24012, 697.9094, 665.0458, 947.0597, 21.16508, 0.04285474, 0.2836972, 1846.656, 0.6158158, 2.963248, 3.440571, 0.8625112, -2.548611, 0.1368983, 0.1467555, 0.1435883, 
1989:3, 2965.43, 8781.03, 0, 6.410841, 0.8970947, 13.53467, 0, 68.64754, 3.334286, 7.175562, 16.27531, 26.48129, 3.965901, 68.14899, 679.5828, 747.3136, 1021.791, 21.99307, 0.04240581, 0.2845864, 1830.196, 0.6171771, 2.961132, 3.410535, 0.8629861, -2.538047, 0.135122, 0.1449046, 0.1417585, 
1989:4, 3044.481, 8996.339, 0, 6.71101, 1.056979, 13.41366, 0, 67.90855, 3.603567, 7.306233, 14.06822, 24.22364, 3.887807, 79.65044, 703.434, 852.498, 1137.25, 25.6323, 0.04249407, 0.2873459, 1905.573, 0.6259108, 2.954966, 3.347752, 0.8595211, -2.487788, 0.1376498, 0.1475149, 0.1443487, 
1989:5, 3412.383, 10027.91, 0, 7.051168, 1.159703, 13.44615, 0, 67.33748, 3.385703, 7.619761, 13.2192, 23.51168, 3.636376, 85.61176, 852.7905, 1250.267, 1598.043, 31.48763, 0.04377134, 0.2891979, 2171.748, 0.6364314, 2.938683, 3.310965, 0.8460758, -2.415001, 0.1510766, 0.161246, 0.1580129, 
1989:6, 4158.395, 12015.39, 0, 7.32398, 1.158757, 13.61527, 0, 67.02689, 2.807031, 8.068066, 13.56901, 23.36507, 3.322371, 84.71029, 1166.925, 1822.957, 2302.719, 38.2224, 0.04637202, 0.2900272, 2655.162, 0.6385065, 2.88943, 3.304209, 0.8315842, -2.330783, 0.1717837, 0.1819129, 0.1787369, 
1989:7, 5172.205, 14573.48, 0, 7.520025, 1.09849, 13.79818, 0, 66.7883, 2.262712, 8.53229, 14.24642, 22.81871, 3.08142, 81.74918, 1596.764, 2384.368, 3044.262, 45.18024, 0.05032356, 0.2907952, 3266.892, 0.6316247, 2.817653, 3.308916, 0.8193869, -2.221483, 0.1904685, 0.2000748, 0.197098, 
1989:8, 6299.396, 17322.98, 0, 7.612958, 1.008798, 13.95346, 0, 66.63073, 1.846134, 8.947922, 15.04059, 22.25731, 2.923618, 77.92313, 2076.735, 2871.473, 3731.999, 51.53279, 0.05532514, 0.2915647, 3910.7, 0.6208056, 2.749943, 3.321217, 0.810959, -2.09929, 0.2041536, 0.213136, 0.2103745, 
1989:9, 7379.852, 19919.19, 0, 7.640273, 0.927385, 14.06528, 0, 66.49707, 1.563283, 9.306707, 15.72251, 21.80719, 2.824658, 74.76004, 2537.893, 3217.405, 4270.095, 57.22265, 0.06105335, 0.2924294, 4508.298, 0.6108928, 2.699131, 3.334926, 0.8057534, -1.975525, 0.2132251, 0.2217414, 0.2191351, 
1989:10, 8348.255, 22219.61, 0, 7.695659, 0.8886607, 14.13748, 0, 66.23989, 1.399195, 9.639115, 15.93615, 21.20796, 2.760719, 74.54781, 2949.394, 3469.801, 4693.43, 63.7383, 0.06732194, 0.2935134, 5048.694, 0.6047604, 2.661587, 3.340319, 0.8021969, -1.852972, 0.2192018, 0.2274393, 0.2249241, 
1989:11, 9333.662, 24573.78, 0, 7.668373, 0.819741, 14.19943, 0, 66.15792, 1.233631, 9.920897, 16.50214, 21.01478, 2.710593, 71.69718, 3371.705, 3850.345, 5249.045, 68.69905, 0.07389031, 0.2942906, 5575.188, 0.5973205, 2.632812, 3.357313, 0.8008218, -1.739217, 0.223989, 0.2320102, 0.229565, 
1989:12, 10130.45, 26572.26, 0, 7.467755, 0.7018984, 14.24144, 0, 66.42725, 1.055155, 10.1065, 17.91717, 21.68436, 2.675339, 63.70401, 3722.902, 4002.345, 5545.616, 68.6696, 0.07991849, 0.2947152, 5955.135, 0.5878448, 2.623008, 3.399712, 0.8016021, -1.646814, 0.2270765, 0.2350366, 0.2326108, 
1990:1, 10314.66, 27170.23, 0, 7.359433, 0.6628252, 14.21781, 0, 66.47757, 1.005797, 10.27658, 18.54384, 22.05249, 2.665179, 61.01735, 3809.138, 3564.043, 5140.522, 68.08797, 0.1375957, 0.295576, 6042.678, 0.585834, 2.634137, 3.173679, 0.8054615, -1.130908, 0.2273076, 0.2355269, 0.2330168, 
1990:2, 10195.43, 27052.9, 0, 7.276144, 0.6433436, 14.17645, 0, 66.51884, 0.9911661, 10.39405, 18.98378, 22.42801, 2.665936, 59.30803, 3765.025, 3298.21, 4853.625, 66.62282, 0.1404707, 0.2963841, 5977.592, 0.5863013, 2.653435, 3.202046, 0.8108091, -1.151157, 0.2263867, 0.2349544, 0.2323304, 
1990:3, 9878.759, 26473.16, 0, 7.162621, 0.6142419, 14.13477, 0, 66.65723, 0.9777278, 10.45341, 19.67973, 23.10775, 2.673417, 56.28628, 3638.894, 3044.92, 4545.253, 63.47216, 0.1427725, 0.2969909, 5800.7, 0.5871892, 2.679806, 3.23564, 0.8159006, -1.168917, 0.2247061, 0.2336676, 0.2309141, 
1990:4, 9343.977, 25338.7, 0, 7.143771, 0.6358707, 14.06009, 0, 66.61207, 1.034884, 10.51332, 19.54513, 23.27429, 2.69239, 57.36707, 3413.147, 2667.703, 4071.739, 61.25695, 0.1446289, 0.2978227, 5533.904, 0.5922429, 2.711768, 3.241736, 0.8248522, -1.170296, 0.2219165, 0.2313533, 0.228442, 
1990:5, 8857.933, 24244.97, 0, 7.25495, 0.7134357, 13.96298, 0, 66.30759, 1.15609, 10.60496, 18.3697, 22.62212, 2.714921, 63.32605, 3199.36, 2522.092, 3835.586, 61.84494, 0.1462402, 0.2988589, 5317.252, 0.6002814, 2.737091, 3.217336, 0.8372136, -1.173191, 0.2191263, 0.2289687, 0.225921, 
1990:6, 8674.555, 23886.84, 0, 7.17567, 0.6766525, 13.94261, 0, 66.47097, 1.129864, 10.60424, 18.96051, 23.20536, 2.722049, 59.83945, 3126.935, 2738.011, 4020.454, 59.64098, 0.1489813, 0.2988469, 5206.119, 0.6001598, 2.753667, 3.241638, 0.8433766, -1.186829, 0.2180785, 0.2280802, 0.2249786, 
1990:7, 8350.283, 23184.56, 0, 7.12889, 0.6692145, 13.90438, 0, 66.53436, 1.148633, 10.61453, 19.17166, 23.57636, 2.737137, 58.64121, 2992.095, 2478.577, 3703.784, 57.40243, 0.1540999, 0.2991028, 5031.625, 0.6025694, 2.7765, 3.248528, 0.8524266, -1.158664, 0.2161041, 0.2263636, 0.2231742, 
1990:8, 7972.986, 22321.72, 0, 7.166057, 0.7119532, 13.83448, 0, 66.40008, 1.234111, 10.65331, 18.54324, 23.33317, 2.758882, 61.62658, 2828.307, 2288.619, 3444.807, 56.7449, 0.1624806, 0.2996512, 4846.603, 0.607878, 2.79967, 3.2223, 0.865397, -1.072982, 0.2136153, 0.2241484, 0.2208648, 
1990:9, 7729.333, 21783.21, 0, 7.123095, 0.7005075, 13.80094, 0, 66.47861, 1.245904, 10.65096, 18.74789, 23.67966, 2.773339, 60.23088, 2726.783, 2330.708, 3444.13, 54.9988, 0.1716422, 0.2996195, 4710.519, 0.6094341, 2.818252, 3.221622, 0.8755233, -0.9951547, 0.2120168, 0.2226971, 0.2193623, 
1990:10, 7461.153, 21144.51, 0, 7.217695, 0.768557, 13.72436, 0, 66.21503, 1.357833, 10.71652, 17.65873, 23.00753, 2.793189, 65.47182, 2605.724, 2182.522, 3245.164, 55.92763, 0.1823403, 0.3002186, 4590.603, 0.6152672, 2.833946, 3.180346, 0.8894023, -0.8867508, 0.210006, 0.2208633, 0.2174665, 
1990:11, 7414.632, 21090.38, 0, 7.078055, 0.6862184, 13.74094, 0, 66.55629, 1.263752, 10.67476, 18.91131, 24.07202, 2.794624, 58.53848, 2594.638, 2395.343, 3453.165, 52.97965, 0.1938942, 0.2994179, 4535.532, 0.6117002, 2.844427, 3.21206, 0.895993, -0.8122718, 0.2099195, 0.2207537, 0.2173648, 
1990:12, 7097.991, 20357.26, 0, 7.049525, 0.6986842, 13.69682, 0, 66.56026, 1.317697, 10.67702, 18.81191, 24.2404, 2.817454, 59.04695, 2460.245, 2021.604, 3022.896, 51.22923, 0.2062694, 0.2996031, 4365.62, 0.6150501, 2.868032, 3.20286, 0.9075816, -0.7267937, 0.2074567, 0.2184986, 0.2150363, 
1991:1, 6772.127, 19594.04, 0, 6.975216, 0.6814468, 13.67258, 0, 66.70088, 1.336862, 10.63301, 19.23487, 24.85606, 2.843156, 57.03513, 2324.87, 1919.858, 2864.441, 48.57112, 0.1974696, 0.2994011, 4179.26, 0.6171267, 2.893336, 3.255307, 0.9175038, -0.7936941, 0.204818, 0.216036, 0.2125103, 
1991:2, 6356.873, 18604, 0, 6.844352, 0.6290581, 13.68173, 0, 66.98562, 1.322978, 10.53627, 20.42947, 26.17529, 2.879077, 52.02993, 2155.925, 1709.439, 2583.243, 44.37418, 0.204172, 0.2988492, 3935.703, 0.6191257, 2.926597, 3.297754, 0.9234232, -0.7656943, 0.2011399, 0.2125806, 0.2089733, 
1991:3, 5787.299, 17187.92, 0, 6.806308, 0.6749561, 13.61177, 0, 66.95943, 1.485467, 10.46206, 19.84923, 26.25719, 2.944037, 54.88208, 1910.887, 1353.96, 2125.47, 41.7942, 0.2084603, 0.2991586, 3625.453, 0.6264499, 2.969938, 3.286489, 0.9370074, -0.7444368, 0.1949331, 0.2066939, 0.2029652, 
